Time frequency,Information society indicator,Unit of measure,Geopolitical entity (reporting),Time,Value
Annual,Last internet use: in last 3 months,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,97.25
Annual,Last internet use: in last 3 months,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,97.43
Annual,Last internet use: in last 3 months,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,97.54
Annual,Last internet use: in last 3 months,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,97.63
Annual,Last internet use: in last 3 months,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022,97.79
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2004,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2005,83.18
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2006,86.27
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2007,91.28
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2008,90.72
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2009,95.47
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2010,97
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2011,97.27
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2012,94.57
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2013,96.78
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2014,96.89
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2015,97.94
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2016,97.92
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2017,98.12
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2018,98.37
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2019,97.73
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2020,98.24
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2021,99.11
Annual,Last internet use: in last 3 months,Percentage of individuals,Belgium,2022,97.09
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2004,40.07
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2006,52
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2007,62.35
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2008,67.76
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2009,77.52
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2010,77.53
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2011,81.18
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2012,82.95
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2013,80.53
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2014,84.05
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2015,85.41
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2016,88.93
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2017,88.28
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2018,92.28
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2019,91.63
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2020,92.12
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2021,92.88
Annual,Last internet use: in last 3 months,Percentage of individuals,Bulgaria,2022,95.07
Annual,Last internet use: in last 3 months,Percentage of individuals,Czechia,2002,n/a
